слово idf tf-idf
con 2.1172712956557644 0.00139019783037148
conference 2.1172712956557644 0.0012918067697716682
confirmation 2.1172712956557644 0.0019824637599773075
connect 2.1172712956557644 0.0035524686168720877
constance 2.1172712956557644 0.002271750317227215
content 2.1172712956557644 0.0020616078828196343
controls 2.1172712956557644 0.018904207996926468
cookie 1.4183012913197455 0.008021299988126453
cookies 1.515211304327802 0.011822305673718355
cooling 2.1172712956557644 0.0008860729423125191
copa 2.1172712956557644 0.0013299442811908068
copyright 1.2141813086638207 0.007921542922432467
core 1.816241299991783 0.01402637783944522
coreliquid 2.1172712956557644 0.0017721458846250383
corners 1.816241299991783 0.00507474634161141
corona 2.1172712956557644 0.0009452103998463234
corporate 2.1172712956557644 0.0012800914725851055
corsair 2.1172712956557644 0.0017721458846250383
cosmos 2.1172712956557644 0.0015955322499289861
count 2.1172712956557644 0.07110239425709657
cov 1.6401500409361018 0.0034125913584917315
covid 0.3319414606449972 0.07854764579162878
covidинтересное 2.1172712956557644 0.001199587136348875
covidоб 2.1172712956557644 0.0024821468882248116
covishield 1.816241299991783 0.0030099632531512223
cpac 2.1172712956557644 0.0018938025900319896
cpu 2.1172712956557644 0.0008860729423125191
cr 1.816241299991783 0.002625771655743712
crafter 2.1172712956557644 0.0019824637599773075
create 1.816241299991783 0.006135588627402714
created 2.1172712956557644 0.0012064223906870452
createdat 2.1172712956557644 0.05649643863884505
creative 1.816241299991783 0.001645632008926897
creed 2.1172712956557644 0.0026582188269375574
creta 2.1172712956557644 0.002686892507177366
crew 2.1172712956557644 0.0015955322499289861
criterion 1.816241299991783 0.005221226248182952
cronos 2.1172712956557644 0.001809633586030568
cronus 2.1172712956557644 0.0008448808043319092
cross 2.1172712956557644 0.002900371637884609
crossing 2.1172712956557644 0.0018904207996926468
cruiser 2.1172712956557644 0.003619267172061136
cry 1.816241299991783 0.0055901894745536244
cs 1.816241299991783 0.037439876285361835
cthulhu 1.816241299991783 0.00507474634161141
ctrl 0.9711432599775263 0.014434897995673532
culsob@gmail 2.1172712956557644 0.0016174723419830133
cupcup 2.1172712956557644 0.0007847558545796014
curious 2.1172712956557644 0.0008448808043319092
currentcategoryname 2.1172712956557644 0.005380613203699529
curse 2.1172712956557644 0.0016897616086638185
cx 2.1172712956557644 0.0008860729423125191
cyber 2.1172712956557644 0.0008448808043319092
cyberpunk 2.1172712956557644 0.001973225811421961
cybersport 2.1172712956557644 0.009452103998463234
cynicum 2.1172712956557644 0.001095329175196981
cəzalandırdı 2.1172712956557644 0.0015695117091592027
cаат 2.1172712956557644 0.0050834845033751845
cветлана 2.1172712956557644 0.0007221252713696331
cело 2.1172712956557644 0.002354267563738804
cмогут 2.1172712956557644 0.008641923655737814
cнова 2.1172712956557644 0.0004430364711562596
cобирает 2.1172712956557644 0.0012800914725851055
cодовой 2.1172712956557644 0.0009141931328392765
cпорт 1.816241299991783 0.009352316869814414
daft 2.1172712956557644 0.001199587136348875
daha 2.1172712956557644 0.0015695117091592027
daily 2.1172712956557644 0.0008448808043319092
daimond 2.1172712956557644 0.001095329175196981
dale 2.1172712956557644 0.0012800914725851055
danil 2.1172712956557644 0.0004430364711562596
dante`s 2.1172712956557644 0.002271750317227215
dark 1.515211304327802 0.006171436349597575
dash 2.1172712956557644 0.002271750317227215
daskochet 2.1172712956557644 0.002190658350393962
date 2.1172712956557644 0.08126899922719096
dava 1.816241299991783 0.006341094046002075
david 2.1172712956557644 0.0010538931287485138
davidova 2.1172712956557644 0.0012800914725851055
dax 2.1172712956557644 0.0013118161683121218
day 1.515211304327802 0.011433561750763868
daylight 2.1172712956557644 0.0008860729423125191
daypoint 2.1172712956557644 0.004277315748799524
days 1.816241299991783 0.007317284507638502
daytube 2.1172712956557644 0.0015695117091592027
ddr 1.816241299991783 0.004489884659955402
de 1.6401500409361018 0.002189711748356539
dea 1.6401500409361018 0.0031544786292216982
dead 1.515211304327802 0.010193627480691917
deathadder 2.1172712956557644 0.0004430364711562596
deathloop 1.816241299991783 0.0035704007774976423
